topic_name,Ad Hominem,Analogy,Appeal to Consequences,Appeal to Emotion,Appeal to Emotions,Appeal to Expert Opinion,Appeal to Popular Opinion,Appeal to Popular Practice,Cause to Effect,Consequences,Direct Ad Hominem,Emotive Appeal,Established Rule,Expert Opinion,Ignorance,Inconsistent Commitment,None of the above,Popular Opinion,Popular Practice,Position To Know,Position to Know,Practical Reasoning,Slippery Slope,Sunk Costs,Threat,Verbal Classification,Waste,All
Theme 1: nta / send / good / btw,4,1,0,0,0,0,0,0,2,2,77,4,8,2,2,1,0,13,9,1,0,16,49,5,12,5,1,214
Theme 2: dont / youre / family / just,23,2,1,4,1,1,0,2,0,5,224,0,32,49,0,10,0,37,68,1,6,120,49,0,19,14,0,668
Theme 3: yta / phones / shp / peoples,6,1,0,0,0,0,0,0,0,1,89,0,11,2,3,3,1,11,5,0,0,14,30,0,13,2,0,192
Theme 4: like / sounds / shes / doesnt,9,4,0,0,0,0,1,0,0,0,75,0,7,3,0,3,0,11,17,0,0,19,14,0,8,2,5,178
Theme 5: manager / employee / parking / just,2,4,0,0,1,0,0,1,0,1,37,0,28,0,0,1,0,1,16,1,0,15,10,0,6,0,0,124
Theme 6: american / ridiculous / usage / america,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,4,0,0,0,2,0,0,6,0,36
All,44,12,1,4,2,1,1,3,2,9,510,4,86,56,5,18,1,89,119,3,6,184,154,5,58,29,6,1412
